연도,기업명,ticker,MSCI,S&P,Sustainalytics,ISS,ESG기준원,평균 점수
2020,BGF리테일,282330,3.4185,3.9235,4.6745,,,2.5725
2021,BGF리테일,282330,3.4037,4.1283,4.7696,,,2.6175
2022,BGF리테일,282330,5.1871,4.4852,3.6959,,,3.0926
2023,BGF리테일,282330,3.8802,5.0314,4.6611,,,2.9088
2019,한미약품,128940,2.672,3.5074,5.7941,5.3025,4.1673,4.0192
2020,한미약품,128940,2.8698,3.1606,4.728,5.1145,4.3308,3.8456
2021,한미약품,128940,2.8012,3.8813,5.0628,5.2249,3.4604,3.8719
2022,한미약품,128940,3.3272,3.5945,4.5305,5.7659,3.6207,4.0277
2023,한미약품,128940,2.9893,3.0879,5.0865,6.2959,3.8261,4.0458
2019,GS,078930,3.1441,2.2157,6.9216,1.0916,2.7573,3.2124
2020,GS,078930,4.5348,2.6925,5.277,0.9689,2.9524,3.4934
2021,GS,078930,4.2949,2.4555,5.5737,0.9226,2.8569,3.3998
2022,GS,078930,4.2798,2.3858,5.8285,1.0643,2.6209,3.4099
2023,GS,078930,3.9369,2.7135,6.8276,1.1401,3.0674,3.6037
2019,롯데쇼핑,023530,2.9362,3.0537,3.5624,,,2.0814
2020,롯데쇼핑,023530,2.7003,2.6002,3.8691,,,1.9783
2021,롯데쇼핑,023530,3.9489,2.4929,3.6727,,,2.3439
2022,롯데쇼핑,023530,5.0177,2.9285,4.2845,,,2.8747
2023,롯데쇼핑,023530,3.1274,3.1425,4.3313,,,2.2881
2019,넷마블,251270,2.654,3.5878,1.7396,2.9109,4.1555,2.9503
2020,넷마블,251270,2.9069,2.8661,2.0831,2.9149,3.4163,2.849
2021,넷마블,251270,4.5242,3.4765,1.7808,3.455,3.5926,3.5589
2022,넷마블,251270,4.5933,3.6598,1.8046,3.2961,4.5496,3.7495
2023,넷마블,251270,4.6712,3.0482,1.8493,3.4017,4.1475,3.6315
2019,SK바이오사이언스,302440,2.6664,3.2586,2.9997,6.2433,4.9934,3.8046
2020,SK바이오사이언스,302440,4.5408,3.6428,3.1406,5.651,5.3224,4.4731
2021,SK바이오사이언스,302440,2.9952,3.2916,3.0481,5.9584,5.5949,3.9806
2022,SK바이오사이언스,302440,4.5281,3.7434,3.4072,6.2753,4.5819,4.5107
2023,SK바이오사이언스,302440,4.3835,3.1231,3.3765,5.9265,5.2677,4.4101
2019,GS리테일,007070,3.4657,2.8482,2.2018,,,1.9969
2020,GS리테일,007070,2.7589,3.3158,2.1309,,,1.8274
2021,GS리테일,007070,3.9247,3.6001,1.9344,,,2.2306
2022,GS리테일,007070,4.265,3.5585,2.3131,,,2.4003
2023,GS리테일,007070,3.918,3.5988,1.784,,,2.2031
2019,현대모비스,012330,0.9496,6.3432,1.022,5.9242,4.2767,3.2442
2020,현대모비스,012330,1.7327,5.9272,0.8588,5.6344,5.1324,3.503
2021,현대모비스,012330,0.9068,6.1425,0.9877,5.0069,5.0097,3.1601
2022,현대모비스,012330,2.2445,5.4053,0.9459,5.2416,5.3112,3.5655
2023,현대모비스,012330,1.9962,5.3283,1.1233,6.2194,5.0258,3.6149
2019,LG디스플레이,034220,5.6995,6.0492,1.4236,5.3918,4.8202,4.8473
2020,LG디스플레이,034220,6.5392,7.2885,1.6424,5.1436,5.359,5.4186
2021,LG디스플레이,034220,5.4649,7.0301,1.7251,6.6106,4.7043,5.1667
2022,LG디스플레이,034220,6.0274,6.7684,1.4208,5.4424,5.3555,5.1737
2023,LG디스플레이,034220,6.2432,6.6444,1.4285,6.0558,4.2552,5.145
2019,LG유플러스,032640,3.7253,4.9761,3.6759,4.9391,,3.507
2020,LG유플러스,032640,2.823,4.6303,4.0157,4.0637,,3.0593
2021,LG유플러스,032640,3.7452,4.5663,3.3916,4.7606,,3.3682
2022,LG유플러스,032640,3.8278,4.7995,4.0137,4.652,,3.5201
2023,LG유플러스,032640,4.1489,5.6969,3.6858,5.2171,,3.8162
2019,롯데지주,004990,2.5134,2.4574,2.6628,,,1.6911
2020,롯데지주,004990,2.485,2.2104,2.6206,,,1.6335
2021,롯데지주,004990,3.5996,2.0808,2.5256,,,1.9676
2022,롯데지주,004990,4.0159,2.392,2.4275,,,2.1419
2023,롯데지주,004990,3.522,2.0262,2.3946,,,1.9108
2019,한온시스템,018880,2.3358,5.2906,1.0152,5.734,4.4885,3.5333
2020,한온시스템,018880,2.2658,4.381,1.1057,5.3043,4.9129,3.3726
2021,한온시스템,018880,2.7347,5.4943,1.2091,5.4955,4.675,3.7239
2022,한온시스템,018880,4.0463,5.4226,1.2064,6.0038,4.6879,4.2356
2023,한온시스템,018880,3.5804,5.2422,1.1362,6.3814,5.4505,4.2285
2019,삼성전자,005930,3.6389,4.9061,1.8198,5.9717,4.7815,4.1261
2020,삼성전자,005930,5.2735,5.0051,2.4076,5.0199,4.8554,4.6392
2021,삼성전자,005930,5.0591,4.5233,2.2173,5.9104,4.4117,4.5302
2022,삼성전자,005930,4.2788,4.1536,2.2802,6.2353,4.8275,4.3424
2023,삼성전자,005930,5.8332,4.1555,2.0285,5.3299,5.4059,4.7644
2019,SK하이닉스,000660,2.2333,6.0582,2.0757,,,2.1001
2020,SK하이닉스,000660,3.4152,6.334,2.212,,,2.5628
2021,SK하이닉스,000660,4.8369,5.6472,2.0763,,,2.8995
2022,SK하이닉스,000660,4.9177,6.4246,2.4965,,,3.1261
2023,SK하이닉스,000660,4.4159,5.5016,2.162,,,2.7492
2019,LG에너지솔루션,373220,4.2399,4.2032,3.3277,5.1759,5.9663,4.5255
2020,LG에너지솔루션,373220,2.8112,3.9737,3.5169,4.0443,6.7978,3.9925
2021,LG에너지솔루션,373220,3.7356,4.9722,3.0669,4.5059,6.6174,4.439
2022,LG에너지솔루션,373220,2.9241,4.2451,3.0764,4.4852,5.3603,3.8359
2023,LG에너지솔루션,373220,2.8813,3.8771,3.547,4.624,5.3207,3.8552
2019,삼성바이오로직스,207940,1.7272,6.2225,2.068,3.4707,4.9519,3.3613
2020,삼성바이오로직스,207940,2.8564,5.0715,2.0279,3.3579,4.3387,3.4181
2021,삼성바이오로직스,207940,1.7385,5.5342,2.3444,3.3477,4.8046,3.2513
2022,삼성바이오로직스,207940,1.8139,5.1863,2.0338,3.5711,5.7069,3.3543
2023,삼성바이오로직스,207940,2.2965,4.8376,1.8726,3.2408,5.0553,3.2665
2019,현대차,005380,1.9962,6.695,3.6299,4.8985,3.1166,3.722
2020,현대차,005380,1.7779,6.238,3.5526,5.098,2.7896,3.539
2021,현대차,005380,1.8841,5.8644,3.2689,4.7842,3.0559,3.4569
2022,현대차,005380,1.9162,6.2433,3.8743,4.0561,3.3642,3.5617
2023,현대차,005380,1.0849,5.9232,3.2505,4.8737,2.585,3.1337
2019,기아,000270,0.9082,5.5153,3.604,4.9277,3.3537,3.2028
2020,기아,000270,0.9576,5.4105,3.1763,5.0573,2.89,3.0749
2021,기아,000270,2.2902,5.7,3.6782,4.1834,2.6687,3.4684
2022,기아,000270,1.995,5.4282,3.3314,3.9661,2.6091,3.2208
2023,기아,000270,2.0344,5.2357,3.1467,4.6635,3.1135,3.3714
2019,셀트리온,068270,5.0503,5.0705,4.3304,3.3683,6.6863,4.926
2020,셀트리온,068270,1.9878,5.6943,4.7151,3.4069,5.6953,3.9145
2021,셀트리온,068270,2.0646,5.1799,3.9137,3.025,5.3173,3.5942
2022,셀트리온,068270,1.0679,5.0685,4.0788,3.544,6.5406,3.5613
2023,셀트리온,068270,1.0352,5.0711,4.3776,3.9094,5.1779,3.4344
2019,포스코 홀딩스,005490,4.4939,5.4231,2.8384,2.9597,4.6568,4.1443
2020,포스코 홀딩스,005490,3.792,5.5092,2.9287,3.4194,5.6145,4.176
2021,포스코 홀딩스,005490,3.4824,5.4358,3.2787,3.2365,5.5629,4.0798
2022,포스코 홀딩스,005490,3.4117,4.8974,3.4595,3.8171,4.3578,3.8925
2023,포스코 홀딩스,005490,5.4419,5.2177,3.5667,2.9686,5.4056,4.6737
2019,LG화학,051910,4.1401,5.9358,3.203,7.5918,6.6283,5.2732
2020,LG화학,051910,2.9181,6.0532,3.2478,7.5212,6.264,4.8204
2021,LG화학,051910,4.4112,5.4364,2.9398,7.6125,5.9862,5.1329
2022,LG화학,051910,3.8804,5.3514,2.8983,6.2584,6.0743,4.7239
2023,LG화학,051910,5.4286,5.3353,2.6402,7.118,6.1553,5.351
2019,NAVER,035420,4.3217,3.2701,1.7064,5.2464,6.5747,4.2402
2020,NAVER,035420,5.6787,3.7292,1.5672,3.9558,5.9978,4.4346
2021,NAVER,035420,6.1149,3.818,1.6924,5.0591,5.6851,4.7474
2022,NAVER,035420,7.8573,3.2781,1.9643,4.8815,6.7001,5.4231
2023,NAVER,035420,5.1175,4.2784,1.7691,4.3473,5.6624,4.382
2019,삼성물산,028260,2.8587,6.1018,4.4809,3.5349,5.8624,4.2829
2020,삼성물산,028260,3.4663,6.3943,3.8368,3.3154,6.6069,4.5143
2021,삼성물산,028260,4.4545,5.7954,4.7825,3.3672,6.1999,4.8423
2022,삼성물산,028260,5.6085,5.9272,3.8008,3.6966,6.4537,5.1826
2023,삼성물산,028260,5.1905,6.396,4.1492,3.8906,5.6015,5.0697
2019,KB금융,105560,5.708,7.6729,2.3539,3.2625,5.65,5.0592
2020,KB금융,105560,4.6982,7.6271,2.7997,3.3908,5.5362,4.7917
2021,KB금융,105560,6.4896,6.8666,2.2852,3.6019,5.4843,5.2028
2022,KB금융,105560,6.158,6.0238,2.2858,3.6475,5.533,4.9677
2023,KB금융,105560,6.7075,6.4049,2.5216,3.296,4.9843,5.1036
2019,카카오,035720,2.7357,5.2548,2.8434,5.427,4.7616,3.9597
2020,카카오,035720,3.6818,6.1648,2.9827,6.3767,5.4113,4.7165
2021,카카오,035720,4.6788,5.4335,2.5467,6.3793,5.7365,4.9089
2022,카카오,035720,5.6909,5.8457,2.8483,4.995,5.3236,5.0657
2023,카카오,035720,5.3337,5.4784,2.5035,5.9694,4.6897,4.8847
2019,삼성생명,032830,1.7494,5.3214,2.3469,,4.5229,2.615
2020,삼성생명,032830,3.9492,5.2647,2.3456,,5.3595,3.478
2021,삼성생명,032830,5.1623,4.7425,2.6505,,4.4829,3.7001
2022,삼성생명,032830,4.6269,4.2985,2.735,,4.4583,3.4576
2023,삼성생명,032830,4.9028,4.849,2.2737,,4.7647,3.6155
2019,하나금융지주,086790,4.4337,7.0725,3.6554,,,3.2659
2020,하나금융지주,086790,3.4209,6.2409,3.3694,,,2.742
2021,하나금융지주,086790,4.3716,5.6972,3.0685,,,2.9181
2022,하나금융지주,086790,5.8559,5.6888,3.6926,,,3.5155
2023,하나금융지주,086790,5.2301,7.6016,3.6967,,,3.6264
2019,LG전자,066570,5.1876,6.6906,4.7672,1.9951,,3.9714
2020,LG전자,066570,5.395,5.6591,3.7781,1.9623,,3.6982
2021,LG전자,066570,4.8174,5.1215,4.2501,2.117,,3.5206
2022,LG전자,066570,5.0005,5.5327,4.7287,2.205,,3.7445
2023,LG전자,066570,4.8223,6.0421,4.2449,2.0126,,3.6574
2019,카카오뱅크,323410,3.1445,2.268,2.7821,4.9768,3.9023,3.3697
2020,카카오뱅크,323410,3.7234,2.1492,2.7,4.9441,4.135,3.5625
2021,카카오뱅크,323410,3.2528,2.3327,2.8201,4.098,4.429,3.3642
2022,카카오뱅크,323410,3.705,2.151,2.9569,4.9204,4.5888,3.6712
2023,카카오뱅크,323410,6.809,2.0457,3.1753,4.9825,4.5137,4.7225
2019,삼성에스디에스,018260,2.7592,2.0702,1.8818,4.0449,,2.2526
2020,삼성에스디에스,018260,5.2799,1.7129,1.757,5.2517,,3.2136
2021,삼성에스디에스,018260,4.4412,1.8677,1.9214,5.1968,,2.9781
2022,삼성에스디에스,018260,5.5733,1.7704,2.3316,4.0967,,3.2242
2023,삼성에스디에스,018260,3.8965,2.0187,2.3185,4.6672,,2.7996
2019,크래프톤,259960,3.8449,1.5347,3.5965,4.2298,6.7908,3.9736
2020,크래프톤,259960,5.2111,1.7169,3.9037,4.349,5.2643,4.276
2021,크래프톤,259960,4.9284,1.7307,3.3789,4.5287,5.7054,4.2001
2022,크래프톤,259960,2.6456,1.7722,3.6665,4.5152,6.1724,3.5696
2023,크래프톤,259960,2.6751,1.4849,4.0966,5.0456,5.7146,3.6153
2019,SK텔레콤,017670,4.7912,7.7049,5.3009,3.77,4.7447,5.1838
2020,SK텔레콤,017670,5.5424,7.5876,4.336,3.2703,4.6598,5.1564
2021,SK텔레콤,017670,4.431,6.3606,5.3297,3.0751,5.417,4.8407
2022,SK텔레콤,017670,5.2074,6.1147,5.0248,3.1243,4.8158,4.9157
2023,SK텔레콤,017670,5.7391,7.6812,5.1865,3.5365,5.6836,5.5943
2019,sk이노베이션,096770,4.16,5.117,3.1534,0.8547,5.1581,3.7672
2020,sk이노베이션,096770,3.7264,4.6079,4.0038,1.0545,4.5018,3.6035
2021,sk이노베이션,096770,4.5764,5.6302,3.0135,0.8514,5.3045,3.992
2022,sk이노베이션,096770,4.5028,5.1298,3.1582,0.9996,5.2694,3.9271
2023,sk이노베이션,096770,4.4407,4.3354,3.2096,1.0574,5.6661,3.8583
2019,우리금융지주,316140,4.2075,5.5222,5.4971,3.278,6.0585,4.7951
2020,우리금융지주,316140,3.7495,5.3975,6.0995,3.6482,5.6214,4.7109
2021,우리금융지주,316140,5.271,6.9666,7.0165,3.3566,6.1269,5.6681
2022,우리금융지주,316140,6.0726,5.539,6.1048,3.424,5.7092,5.4871
2023,우리금융지주,316140,6.1865,6.6658,5.4649,3.288,6.0236,5.6359
2019,한화에어로스페이스,012450,4.0303,3.3697,2.0326,3.7333,4.4785,3.6124
2020,한화에어로스페이스,012450,3.7819,3.4595,1.6268,3.2883,5.211,3.5249
2021,한화에어로스페이스,012450,2.7832,3.4816,1.827,3.3767,5.2112,3.2438
2022,한화에어로스페이스,012450,3.6039,3.5659,1.8163,3.0491,5.2492,3.4814
2023,한화에어로스페이스,012450,5.1447,3.2114,1.65,3.3001,5.5685,4.0032
2019,하이브,352820,4.448,0.8746,7.6663,4.0323,4.9544,4.4039
2020,하이브,352820,3.6204,0.9691,6.2698,4.7908,4.8519,4.0204
2021,하이브,352820,3.8997,1.0429,7.3118,4.9275,4.7712,4.3088
2022,하이브,352820,4.3621,0.8742,7.708,4.3886,4.4122,4.3512
2023,하이브,352820,3.5304,0.8787,6.7806,5.2621,4.9813,4.1606
2019,고려아연,010130,4.2164,4.81,4.3331,4.5096,,3.6809
2020,고려아연,010130,1.9317,4.602,5.0899,4.649,,3.0341
2021,고려아연,010130,3.4369,3.7737,4.5755,3.9979,,3.2035
2022,고려아연,010130,3.1342,4.329,5.1222,4.1623,,3.3136
2023,고려아연,010130,2.9025,4.6199,4.335,4.1817,,3.1569
2019,S-Oil,010950,4.2123,5.1412,2.5936,6.089,5.5579,4.6344
2020,S-Oil,010950,2.5891,4.5821,2.4076,7.7965,4.5785,4.0905
2021,S-Oil,010950,3.2372,5.3498,2.7474,6.2256,4.77,4.2612
2022,S-Oil,010950,3.1312,4.6617,2.9129,7.5028,4.2739,4.269
2023,S-Oil,010950,3.3102,5.5333,2.5563,7.3074,4.4631,4.4134
2019,대한항공,003490,2.201,3.4213,2.503,4.3399,4.8212,3.2479
2020,대한항공,003490,3.0684,3.6086,2.6988,4.678,5.61,3.7887
2021,대한항공,003490,2.9437,3.3933,2.555,4.82,5.7411,3.7328
2022,대한항공,003490,3.4311,4.2244,3.3014,4.0426,5.3616,3.9654
2023,대한항공,003490,5.5369,3.3228,3.1525,4.541,5.0508,4.5235
2019,삼성중공업,010140,0.9017,4.8915,3.401,4.8135,2.6248,2.9224
2020,삼성중공업,010140,0.9926,5.1504,4.2453,4.8137,3.2197,3.2357
2021,삼성중공업,010140,1.0674,4.1289,3.5262,4.8298,2.7009,2.8867
2022,삼성중공업,010140,0.9633,5.2775,4.3217,5.006,3.0915,3.2706
2023,삼성중공업,010140,1.7917,5.291,4.0381,4.4411,3.0983,3.4086
2019,SK바이오팜,326030,2.9491,4.4937,3.832,3.2137,,2.9062
2020,SK바이오팜,326030,2.7315,4.7379,3.9175,3.6567,,2.9625
2021,SK바이오팜,326030,4.2316,4.5358,4.4818,3.3274,,3.468
2022,SK바이오팜,326030,4.5404,4.4729,4.6204,3.5035,,3.6129
2023,SK바이오팜,326030,5.8067,5.4442,4.6385,3.8504,,4.2577
2019,아모레퍼시픽,090430,4.7712,5.1375,1.6711,3.1257,4.6457,4.0204
2020,아모레퍼시픽,090430,5.0375,5.8039,1.6749,3.9095,5.0762,4.4233
2021,아모레퍼시픽,090430,4.3765,4.9699,1.7698,3.6937,4.4927,3.9465
2022,아모레퍼시픽,090430,5.128,5.9343,1.9467,3.7922,5.4285,4.5596
2023,아모레퍼시픽,090430,4.9371,5.5436,1.6529,3.6904,5.7461,4.4179
2019,한국타이어앤테크놀로지,161390,4.456,6.2357,3.1469,4.1068,,3.7336
2020,한국타이어앤테크놀로지,161390,4.5522,5.7876,3.5966,4.169,,3.7763
2021,한국타이어앤테크놀로지,161390,4.3995,5.9623,3.4623,4.697,,3.8201
2022,한국타이어앤테크놀로지,161390,2.7899,5.3701,3.5199,4.3068,,3.1294
2023,한국타이어앤테크놀로지,161390,2.8185,5.8209,4.1062,3.9895,,3.2589
2019,LG생활건강,051900,4.6414,7.247,2.1793,5.2119,,3.9868
2020,LG생활건강,051900,5.7091,6.7036,2.1018,4.4243,,4.108
2021,LG생활건강,051900,4.2978,6.0529,2.0622,5.2211,,3.6553
2022,LG생활건강,051900,3.5669,7.0623,2.4829,4.6517,,3.5551
2023,LG생활건강,051900,4.9899,6.6171,2.4434,4.229,,3.8782
2019,카카오페이,377300,2.5306,5.2464,1.8616,,5.0545,2.8706
2020,카카오페이,377300,3.3545,4.0857,1.7496,,4.9725,2.9195
2021,카카오페이,377300,3.1015,4.8113,1.7503,,4.5508,2.8859
2022,카카오페이,377300,3.3624,4.7246,1.5864,,4.3122,2.8913
2023,카카오페이,377300,3.6453,4.8992,1.7142,,5.7172,3.2702
2019,CJ제일제당,097950,4.1115,3.9417,1.3116,4.3718,,2.9747
2020,CJ제일제당,097950,5.4409,4.7244,1.4024,4.3296,,3.5564
2021,CJ제일제당,097950,4.5102,4.1207,1.334,4.7516,,3.2045
2022,CJ제일제당,097950,5.1777,3.673,1.1449,4.6813,,3.3091
2023,CJ제일제당,097950,5.8993,3.833,1.3286,4.6532,,3.6022
2019,엔씨소프트,036570,3.7926,5.318,2.6195,,,2.5871
2020,엔씨소프트,036570,3.7041,5.2457,2.2731,,,2.4878
2021,엔씨소프트,036570,5.6832,5.8287,2.1862,,,3.2302
2022,엔씨소프트,036570,5.2343,4.7831,2.6763,,,2.988
2023,엔씨소프트,036570,6.0207,6.1655,2.4327,,,3.4399
2019,금호석유,011780,1.8241,3.0681,2.6323,,,1.5581
2020,금호석유,011780,1.8086,2.9182,2.3285,,,1.4773
2021,금호석유,011780,1.9656,3.1003,2.1654,,,1.5328
2022,금호석유,011780,4.9725,3.2862,2.8037,,,2.6725
2023,금호석유,011780,2.7936,3.2831,2.5611,,,1.9052
2019,효성,004800,3.5551,2.928,2.4155,,,2.0756
2020,효성,004800,3.5257,2.8833,2.9142,,,2.1415
2021,효성,004800,3.8774,3.4991,2.73,,,2.3306
2022,효성,004800,5.8822,2.6407,2.6857,,,2.8485
2023,효성,004800,3.3322,3.5516,2.4401,,,2.1094
